,Installation Payment,1st Yr Deposits (in Installation Payment),Ongoing 5 bps,Qualification Reqs,Other Notes
Transamerica,0.20%,0.20%,0.05%,None,Upfront Rev Share Bonus hit for selling 10 plans and 12MM a year.  Bonus is AUM for the year of 5-10 bps.
John Hancock,0.20%,1.00%,0.05%,5 plans,
Empower,0,0,Has to be built in,None,"Must build in, they start at zero"
American Funds,0,0,0.05%,None,"Dependent on the share class, R2-R4 generally have 2bps- 5bps.  R5-R6 have Zero."
Voya,0.35%,0.35%,0.05%,5 plans or 50MM,Have to hit 10 plans annually to get to the 35 bps
T Rowe Price,0.00%,0.00%,Has to be built in,None,Have to build in TPA Comp or bill direct but we should build in 5 bps on every plan
Principal,0.25%,,0.05%,,
