Total Fees by Contract,,,,,,,,,
"Executive Retirement Plans, LLC TPA(508420) ",,,,,,,,,
10/1/2023 - 9/30/2025,,,,,,,,,
,,,,,,,,,
Contract ID,Sub ID,Company Name,Fee Type,Total,,,,,
932293,00056,Abstract Construction Co.,Transaction Fees,540.38,,,,,
932293,00056,Abstract Construction Co.,Service Fee Income,352.98,,,,,
932293,00056,Abstract Construction Co.,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,893.36,,,,,
,,,,,,,,,
932293,00057,Woodhaus Inc.,Transaction Fees,275.00,,,,,
932293,00057,Woodhaus Inc.,Service Fee Income,46.60,,,,,
932293,00057,Woodhaus Inc.,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,321.60,,,,,
,,,,,,,,,
932293,00058,Mountain Mover Facades,Transaction Fees,75.00,,,,,
932293,00058,Mountain Mover Facades,Service Fee Income,109.86,,,,,
932293,00058,Mountain Mover Facades,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,184.86,,,,,
,,,,,,,,,
932293,00060,Rothberg Shurtleff Dang PLLC,Transaction Fees,0.00,,,,,
932293,00060,Rothberg Shurtleff Dang PLLC,Service Fee Income,18.65,,,,,
932293,00060,Rothberg Shurtleff Dang PLLC,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,18.65,,,,,
,,,,,,,,,
932293,00061,"G.P. Cooper Industries, Inc. dba Cooper General Contractors",Transaction Fees,389.45,,,,,
932293,00061,"G.P. Cooper Industries, Inc. dba Cooper General Contractors",Service Fee Income,460.71,,,,,
932293,00061,"G.P. Cooper Industries, Inc. dba Cooper General Contractors",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,850.16,,,,,
,,,,,,,,,
932293,00063,"Keeland and Company Painting, LLC",Transaction Fees,500.00,,,,,
932293,00063,"Keeland and Company Painting, LLC",Service Fee Income,1.30,,,,,
932293,00063,"Keeland and Company Painting, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,501.30,,,,,
,,,,,,,,,
932293,00064,"Blackland Partners, LLC",Transaction Fees,"4,813.43",,,,,
932293,00064,"Blackland Partners, LLC",Service Fee Income,0.00,,,,,
932293,00064,"Blackland Partners, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"4,813.43",,,,,
,,,,,,,,,
932293,00065,"Tarrant Acquisition, LTD",Transaction Fees,0.00,,,,,
932293,00065,"Tarrant Acquisition, LTD",Service Fee Income,0.71,,,,,
932293,00065,"Tarrant Acquisition, LTD",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,0.71,,,,,
,,,,,,,,,
935081,00002,"K-Market, Inc. dba Khoury's Marketplace",Transaction Fees,"1,063.92",,,,,
935081,00002,"K-Market, Inc. dba Khoury's Marketplace",Service Fee Income,0.00,,,,,
935081,00002,"K-Market, Inc. dba Khoury's Marketplace",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,063.92",,,,,
,,,,,,,,,
935081,00003,Benedict Trading Company,Transaction Fees,85.00,,,,,
935081,00003,Benedict Trading Company,Service Fee Income,0.00,,,,,
935081,00003,Benedict Trading Company,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,85.00,,,,,
,,,,,,,,,
935081,00004,"Peterson Market, LLC",Transaction Fees,"3,176.30",,,,,
935081,00004,"Peterson Market, LLC",Service Fee Income,0.00,,,,,
935081,00004,"Peterson Market, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,176.30",,,,,
,,,,,,,,,
935081,00005,Stackhouse LLC dba Panaca Market,Transaction Fees,20.77,,,,,
935081,00005,Stackhouse LLC dba Panaca Market,Service Fee Income,0.00,,,,,
935081,00005,Stackhouse LLC dba Panaca Market,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,20.77,,,,,
,,,,,,,,,
935081,00010,"Broulim's Supermarkets, Inc.",Transaction Fees,"3,763.22",,,,,
935081,00010,"Broulim's Supermarkets, Inc.",Service Fee Income,0.00,,,,,
935081,00010,"Broulim's Supermarkets, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,763.22",,,,,
,,,,,,,,,
935081,00012,Park City Market Inc.,Transaction Fees,85.00,,,,,
935081,00012,Park City Market Inc.,Service Fee Income,0.00,,,,,
935081,00012,Park City Market Inc.,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,85.00,,,,,
,,,,,,,,,
935081,00013,"G&G Merc, Inc.  DBA Garden Valley Market",Transaction Fees,254.93,,,,,
935081,00013,"G&G Merc, Inc.  DBA Garden Valley Market",Service Fee Income,0.00,,,,,
935081,00013,"G&G Merc, Inc.  DBA Garden Valley Market",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,254.93,,,,,
,,,,,,,,,
935081,00015,"National Product Sales, Inc.",Transaction Fees,"3,764.97",,,,,
935081,00015,"National Product Sales, Inc.",Service Fee Income,0.00,,,,,
935081,00015,"National Product Sales, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,764.97",,,,,
,,,,,,,,,
935081,00016,"Digby's Market, LLC",Transaction Fees,965.21,,,,,
935081,00016,"Digby's Market, LLC",Service Fee Income,0.00,,,,,
935081,00016,"Digby's Market, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,965.21,,,,,
,,,,,,,,,
,,Grand Total for All Transaction Fees,,"264,873.14",,,,,
,,Grand Total for All Service Fee Income,,"226,735.13",,,,,
,,Grand Total for All Special Incentive,,0.00,,,,,
,,Grand Total for All Payments,,"491,608.27",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"The information provided on this report is being provided as a courtesy and is not intended to satisfy any disclosure or other legal requirements, including, but not limited to, any disclosures required under Sections 404(a) and 408(b)(2) of the Employee Retirement income Security Act of 1974, as amended. Although care has been taken in preparing this material and presenting it accurately, Transamerica disclaims any express or implied warranty as to the accuracy of any material contained herein and any liability with respect to it. ",,,,,,,,,
,,,,,,,,,
Confidential: For TPA Use Only,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
